Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
451,5,-92.00,11.07,250.62,0
452,9,-92.20,6.51,-38.42,0
453,3,-90.81,7.87,97.39,0
454,3,-90.57,9.74,41.67,0
455,1,-90.00,0.00,0.00,0
456,15,-92.96,10.44,138.05,0
457,4,-90.96,15.52,2.00,0
458,10,-91.85,2.07,31.83,0
459,1,-90.50,37.35,0.00,0
460,4,-91.32,16.32,129.19,0
461,3,-91.32,26.78,-10.45,0
462,1,-90.00,0.00,0.00,0
463,1,-90.00,0.00,0.00,0
464,9,88.32,16.23,71.30,1
465,12,-92.05,6.25,2.03,0
466,5,87.91,28.96,207.10,1
467,2,-91.08,5.29,53.99,0
468,2,-90.78,3.34,22.20,0
469,7,-90.82,9.95,5.00,0
470,2,-90.86,14.52,1.00,0
471,3,-90.73,22.87,1.00,0
472,7,87.50,29.72,303.08,1
473,2,-90.13,42.47,0.00,0
474,10,-92.47,2.98,123.72,0
475,7,-91.59,17.69,95.07,0
476,13,-92.07,8.76,42.54,0
477,1,-90.00,0.00,0.00,0
478,200,-42.50,0.24,122.83,0
479,1,-90.00,0.00,0.00,0
480,7,-91.69,5.19,26.22,0
481,6,-91.02,11.51,4.78,0
482,3,-91.01,8.30,2.00,0
483,4,-91.52,23.55,123.33,0
484,2,-90.75,18.68,1.00,0
485,2,-90.00,20.75,0.00,0
486,2,-90.39,32.92,-22.89,0
487,4,-92.39,11.65,273.51,0
488,6,-91.49,16.95,16.45,0
489,1,-90.00,0.00,0.00,0
490,1,-90.00,0.00,0.00,0
491,1,-90.00,0.00,0.00,0
492,3,-91.29,6.94,135.42,0
493,5,-90.80,8.13,10.62,0
494,6,-91.41,4.84,5.00,0
495,1,-90.00,29.05,0.00,0
496,1,-90.00,0.00,0.00,0
497,16,-93.59,3.85,109.35,0
498,1,-90.00,0.00,0.00,0
499,1,-90.00,0.00,0.00,0
500,1,-90.00,0.00,0.00,0
501,1,-90.00,0.00,0.00,0
502,14,88.67,18.21,-279.94,1
503,5,-90.98,12.09,149.48,0
504,1,-90.00,0.00,0.00,0
505,5,89.44,33.90,-133.60,1
506,3,88.93,50.90,184.66,1
507,1,-90.00,20.75,0.00,0
508,1,-90.00,0.00,0.00,0
509,22,86.89,7.54,-139.57,1
510,1,-90.12,20.75,0.00,0
511,14,87.31,8.64,-79.03,1
512,7,-91.51,6.19,19.20,0
513,6,88.40,28.19,-96.96,1
514,2,-90.96,8.52,1.00,0
