Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
575,4,13.88,30.04,166.81,True
576,4,-9.54,25.78,186.75,False
577,6,25.69,43.19,791.36,True
578,7,-14.95,17.76,109.07,False
579,14,-19.84,8.80,129.38,True
580,6,12.27,26.15,280.34,True
581,9,-23.97,4.61,100.82,False
582,13,-11.39,11.74,612.04,False
583,3,-11.67,19.07,8.13,False
584,7,8.05,18.57,157.37,True
585,5,-10.17,15.74,212.18,False
586,17,-43.72,2.40,209.52,False
587,8,1.62,10.39,170.92,True
588,3,20.57,46.95,341.98,True
589,3,14.99,34.14,277.36,True
590,5,30.41,32.70,456.68,True
591,1,-12.26,14.36,10.01,False
592,3,22.52,50.90,393.89,True
593,10,-37.79,3.05,58.89,False
594,11,-29.05,1.07,38.78,False
595,8,0.06,18.36,355.85,True
596,8,8.37,12.68,241.16,True
597,4,10.29,34.94,339.65,True
598,5,13.40,27.47,347.19,True
599,4,-6.02,24.27,302.56,False
600,6,6.48,34.42,638.36,False
601,3,19.12,50.90,347.72,True
602,3,-14.63,8.35,15.13,False
603,5,-10.59,20.17,211.54,False
604,20,-45.36,5.00,84.58,True
605,4,20.19,38.17,507.77,True
606,4,-16.18,9.06,32.68,False
607,3,-1.32,39.84,217.09,False
608,7,-19.80,8.29,174.10,False
609,6,3.20,19.23,121.49,True
610,11,-25.09,8.83,301.90,False
611,7,-15.27,13.87,292.15,False
612,5,-22.36,0.00,3.90,False
613,2,17.89,41.72,197.01,True
614,6,22.48,32.37,524.32,True
615,6,24.54,37.67,599.57,True
616,3,-12.83,10.95,19.63,False
617,3,19.94,50.90,463.14,True
618,3,20.94,50.84,392.79,True
619,4,-15.78,11.00,49.35,False
620,8,-27.67,13.50,147.95,False
621,5,13.66,14.85,52.87,True
622,6,2.85,17.10,179.98,True
623,3,23.22,50.90,440.05,True
624,9,-13.42,10.79,332.28,False
625,4,21.66,47.68,603.80,True
626,3,17.05,31.78,242.18,True
627,5,-10.92,23.14,125.16,False
628,4,10.40,19.13,125.35,True
629,3,-5.11,38.12,119.40,False
630,8,-23.66,8.95,105.66,False
631,5,23.29,32.94,312.55,True
632,4,-4.68,34.64,301.42,False
633,6,9.21,38.34,607.96,False
634,4,-9.69,15.18,191.26,False
635,12,-12.92,9.23,165.12,True
636,9,-22.29,11.92,116.19,False
637,3,-3.87,28.36,205.31,False
638,4,-12.41,13.42,63.50,False
639,6,18.13,33.39,503.35,True
640,13,-11.06,13.70,344.18,False
641,6,17.28,31.92,610.97,True
642,3,14.60,25.35,59.41,True
643,4,18.75,36.70,365.11,True
644,3,15.07,40.68,148.04,True
645,8,-3.50,22.01,640.96,False
646,9,2.68,21.58,269.27,True
647,3,12.97,35.29,293.52,True
648,2,-12.69,28.69,5.52,False
649,8,-30.93,0.00,7.00,False
650,7,-11.52,16.28,218.57,False
651,3,22.42,32.37,279.48,True
652,6,5.15,18.90,287.75,True
653,9,-36.23,0.00,16.44,False
654,5,-14.25,20.16,179.17,False
655,7,-3.96,16.05,444.92,False
656,5,27.79,32.02,335.12,True
657,9,-29.51,3.40,76.85,False
658,9,-23.65,8.53,108.94,False
659,8,-24.75,6.88,82.08,False
660,7,-29.93,6.62,26.04,False
661,4,7.29,18.00,80.22,True
662,3,25.16,42.83,336.50,True
663,8,-13.16,8.34,190.39,False
664,3,-2.82,50.90,347.72,False
665,4,19.89,33.63,273.01,True
666,2,12.62,34.39,105.68,True
667,7,-19.50,5.60,155.07,False
668,4,12.83,39.47,321.14,True
669,3,18.63,32.37,301.56,True
670,11,37.13,31.45,1036.38,True
671,5,-1.85,20.18,87.80,False
672,7,-5.67,28.08,554.09,False
